H00001 NP_001005484.1
H08696 NP_057592.2
H08697 NP_003328.1
H08698 NP_542387.1
H08699 NP_056103.4
H08700 NP_001028675.1
H08701 NP_057187.1
H08702 NP_068817.1
H08703 NP_001736.1
H08704 NP_055644.2
H08705 NP_689622.2
H08706 NP_001129058.1
H08707 NP_078991.3
H08708 NP_115527.3
H08709 NP_821138.1
H08710 NP_002644.4
H08711 NP_004884.1
H08712 NP_613075.1
H08713 NP_613258.2
H08714 NP_001035248.1
H08715 NP_570900.1
H08716 NP_001092691.1
H08717 NP_006152.2
H08718 NP_004878.2
H08719 NP_660325.4
H08720 NP_000581.1
H08721 NP_036291.2
H08722 NP_002293.2
H08723 NP_000349.1
H08724 NP_005894.3
H08725 NP_001001419.1
H08726 NP_001001420.1
H08727 NP_065122.1
H08728 NP_001161048.1
H08729 NP_001161049.1
H08730 NP_004589.1
H08731 NP_059111.2
H08732 NP_006796.1
H08733 NP_006781.1
H08734 NP_001129412.1
H08735 NP_055201.2
H08736 NP_057687.2
H08737 NP_001095270.1
H08738 NP_001095271.1
H08739 NP_490645.1
H08740 NP_003542.1
H08741 NP_631938.1
H08742 NP_001157798.1
H08743 NP_006687.3
H08744 NP_005724.1
H08745 NP_004652.2
H08746 NP_001487.2
H08747 NP_073720.1
H08748 NP_001781.2
H08749 NP_001129119.1
H08750 NP_057689.1
H08751 NP_057688.2
H08752 NP_057690.2
H08753 NP_001955.1
H08754 NP_004721.1
H08755 NP_004125.3
H08756 NP_001894.2
H08757 NP_056379.1
H08758 NP_001032722.1
H08759 NP_071909.1
H08760 NP_001181885.1
H08761 NP_061322.2
H08762 NP_954659.1
H08763 NP_001181883.1
H08764 NP_001181884.1
H08765 NP_057564.3
H08766 NP_001028284.1
H08767 NP_005838.3
H08768 NP_689898.2
H08769 NP_057543.2
H08770 NP_001155018.1
H08771 NP_919272.1
H08772 NP_689899.1
H08773 NP_001071161.1
H08774 NP_938023.1
H08775 NP_003330.1
H08776 NP_862821.1
H08777 NP_057547.5
H08778 NP_115665.1
H08779 NP_004874.1
H08780 NP_053584.1
H08781 NP_053585.1
H08782 NP_053586.1
H08783 NP_001171864.1
H08784 NP_005850.1
H08785 NP_001007190.1
H08786 NP_115788.1
H08787 NP_002613.2
H08788 NP_001936.1
H08789 NP_113655.2
H08790 NP_065741.3
H08791 NP_060217.1
H08792 NP_060448.1
H08793 NP_078944.2
H08794 NP_003723.1
H08795 NP_001030312.2
H08796 NP_573418.2
H08797 NP_006042.3
H08798 NP_573419.2
H08799 NP_573420.2
H08800 NP_542401.1
H08801 XP_003118983.1
H08802 NP_000582.1
H08803 NP_001035110.1
H08804 NP_001167575.1
H08805 NP_001167576.1
H08806 NP_060972.3
H08807 NP_002479.1
H08808 NP_001171941.1
H08809 NP_006074.2
H08810 NP_060176.2
H08811 NP_919225.1
H08812 NP_002100.2
H08813 NP_036340.1
H08814 NP_653324.1
H08815 NP_061723.1
H08816 NP_113599.1
H08817 NP_113598.1
H08818 NP_061728.1
H08819 NP_113683.1
H08820 NP_061729.1
H08821 NP_113685.1
H08822 NP_061730.1
H08823 NP_113688.1
H08824 NP_061731.1
H08825 NP_113689.1
H08826 NP_061732.1
H08827 NP_114037.1
H08828 NP_114036.1
H08829 NP_061733.1
H08830 NP_114040.1
H08831 NP_061734.1
H08832 NP_114062.1
H08833 NP_114063.1
H08834 NP_054724.1
H08835 NP_061724.1
H08836 NP_114066.1
H08837 NP_114065.1
H08838 NP_061725.1
H08839 NP_114067.1
H08840 NP_061726.1
H08841 NP_114070.1
H08842 NP_061727.1
H08843 NP_114071.1
H08844 NP_061721.2
H08845 NP_114088.2
H08846 NP_061722.1
H08847 NP_114089.1
H08848 NP_037472.2
H08849 NP_061759.1
H08850 NP_061760.1
H08851 NP_061761.1
H08852 NP_056484.1
H08853 NP_061762.1
H08854 NP_061763.1
H08855 NP_061993.1
H08856 NP_066008.1
H08857 NP_061992.2
H08858 NP_061753.1
H08859 NP_061754.1
H08860 NP_061755.1
H08861 NP_061756.1
H08862 NP_061757.1
H08863 NP_061758.1
H08864 NP_114153.1
H08865 NP_005633.2
H08866 NP_061735.1
H08867 NP_114382.1
H08868 NP_061738.1
H08869 NP_114398.1
H08870 NP_061739.2
H08871 NP_114400.1
H08872 NP_061745.1
H08873 NP_115266.1
H08874 NP_061740.1
H08875 NP_114442.1
H08876 NP_061746.1
H08877 NP_115267.1
H08878 NP_061741.1
H08879 NP_114443.1
H08880 NP_061747.1
H08881 NP_115268.1
H08882 NP_061742.1
H08883 NP_114475.1
H08884 NP_061743.1
H08885 NP_114476.1
H08886 NP_003727.1
H08887 NP_115269.1
H08888 NP_114477.1
H08889 NP_054723.1
H08890 NP_061748.1
H08891 NP_115270.1
H08892 NP_061744.1
H08893 NP_114478.1
H08894 NP_061749.1
H08895 NP_115271.1
H08896 NP_061736.1
H08897 NP_114479.1
H08898 NP_061750.1
H08899 NP_115272.1
H08900 NP_061737.1
H08901 NP_114481.1
H08902 NP_114480.1
H08903 NP_003726.1
H08904 NP_115265.1
H08905 NP_002579.2
H08906 NP_115779.1
H08907 NP_115778.1
H08908 NP_061751.1
H08909 NP_115782.1
H08910 NP_061752.1
H08911 NP_115783.1
H08912 NP_005210.3
H08913 NP_001073280.1
H08914 NP_003874.2
H08915 NP_776189.3
H08916 NP_001123501.1
H08917 NP_258260.1
H08918 NP_071926.4
H08919 NP_115796.2
H08920 NP_002578.2
H08921 NP_055588.3
H08922 NP_001136075.1
H08923 NP_057664.1
H08924 NP_004281.1
H08925 NP_899646.1
H08926 NP_899647.1
H08927 NP_899648.1
H08928 NP_899645.1
H08929 NP_005462.1
H08930 NP_085048.1
H08931 NP_112226.2
H08932 NP_001120968.1
H08933 NP_000791.1
H08934 NP_001138364.1
H08935 NP_001138406.1
H08936 NP_001138407.1
H08937 NP_149128.1
H08938 NP_149127.1
H08939 NP_001129080.1
H08940 NP_055886.1
H08941 NP_001018661.1
H08942 NP_000167.1
H08943 NP_001018084.1
H08944 NP_001018085.1
H08945 NP_001018086.1
H08946 NP_001018087.1
H08947 NP_001019265.1
H08948 NP_067005.1
H08949 NP_001020118.1
H08950 NP_110426.4
H08951 NP_065819.1
H08952 NP_892005.1
H08953 NP_995318.1
H08954 NP_612501.3
H08955 NP_001073985.1
H08956 NP_689763.3
H08957 NP_001025040.1
H08958 NP_064502.9
H08959 NP_061862.1
H08960 NP_002691.1
H08961 NP_006697.2
H08962 NP_001035095.1
H08963 NP_919227.2
H08964 NP_858062.1
H08965 NP_858063.1
H08966 NP_858060.1
H08967 NP_858061.1
H08968 NP_001120853.1
H08969 NP_004567.1
H08970 NP_858064.1
H08971 NP_001106195.1
H08972 NP_659438.1
H08973 NP_001378.1
H08974 NP_055605.2
H08975 NP_003113.2
H08976 NP_473364.1
H08977 NP_996849.2
H08978 NP_001121170.1
H08979 NP_006837.2
H08980 NP_001121171.1
H08981 NP_001001325.1
H08982 NP_995313.2
H08983 NP_001035218.1
H08984 NP_115955.1
H08985 NP_001035523.1
H08986 NP_110420.3
H08987 NP_995308.1
H08988 NP_001035259.1
H08989 NP_955525.1
H08990 NP_001035262.2
H08991 NP_000861.1
H08992 NP_001035263.1
H08993 NP_000015.1
H08994 NP_078853.2
H08995 NP_055760.1
H08996 NP_689619.1
H08997 NP_001139809.1
H08998 NP_689620.2
H08999 NP_076933.3
H09000 NP_055258.1
H09001 NP_001883.4
H09002 NP_001020276.1
H09003 NP_001001669.2
H09004 NP_573570.3
H09005 NP_001166169.1
H09006 NP_001166170.1
H09007 NP_000431.2
H09008 NP_000103.2
H09009 NP_112215.1
H09010 NP_055798.2
H09011 NP_005202.2
H09012 NP_002600.1
H09013 NP_001795.2
H09014 NP_055043.2
H09015 NP_057065.2
H09016 NP_741960.1
H09017 NP_001012301.1
H09018 NP_000347.2
H09019 NP_001128715.1
H09020 NP_001128716.1
H09021 NP_001128717.1
H09022 NP_001008657.1
H09023 NP_004346.1
H09024 NP_001020330.1
H09025 NP_001020329.1
H09026 NP_005608.1
H09027 NP_001020241.1
H09028 NP_001020242.1
H09029 NP_001534.1
H09030 NP_001159680.1
H09031 NP_001159681.1
H09032 NP_009217.3
H09033 NP_001103444.1
H09034 NP_588612.2
H09035 NP_001116325.1
H09036 NP_060517.1
H09037 NP_057305.1
H09038 NP_001129115.1
H09039 NP_001129116.1
H09040 NP_116565.3
H09041 NP_001139277.1
H09042 NP_001166302.1
H09043 NP_443092.1
H09044 NP_001166303.1
H09045 NP_002075.2
H09046 NP_006049.3
H09047 NP_001146.2
H09048 NP_001180473.1
H09049 NP_056436.2
H09050 NP_001161079.1
H09051 NP_000396.2
H09052 NP_861439.3
H09053 NP_001138489.1
H09054 NP_861441.2
H09055 NP_510968.2
H09056 NP_001438.1
H09057 NP_003109.1
H09058 NP_004036.1
H09059 NP_005745.1
H09060 NP_938405.1
H09061 NP_000162.2
H09062 NP_001139512.1
H09063 NP_064552.3
H09064 NP_000818.2
H09065 NP_001107655.1
H09066 NP_061161.2
H09067 NP_005918.1
H09068 NP_001128509.1
H09069 NP_938080.1
H09070 NP_001124534.1
H09071 NP_001124535.1
H09072 NP_078908.1
H09073 NP_004812.1
H09074 NP_056130.2
H09075 XP_003118984.1
H09076 NP_115761.2
H09077 NP_004770.4
H09078 NP_056280.2
H09079 NP_054899.2
H09080 NP_001014990.1
H09081 NP_001092763.1
H09082 NP_000328.2
H09083 NP_758447.1
H09084 NP_001121681.1
H09085 NP_001140198.1
H09086 NP_612388.2
H09087 NP_036338.2
H09088 NP_001092884.1
H09089 NP_001166864.1
H09090 NP_116171.3
H09091 NP_004261.1
H09092 NP_001094286.1
H09093 NP_570969.2
H09094 NP_005537.3
H09095 NP_001032409.2
H09096 NP_055191.2
H09097 NP_001032410.1
H09098 NP_001001343.2
H09099 NP_001092757.1
H09100 NP_001165763.1
H09101 NP_150377.1
H09102 NP_848511.1
H09103 NP_008948.1
H09104 NP_001138604.1
H09105 NP_060342.2
H09106 NP_775762.1
H09107 NP_055481.1
H09108 XP_003118926.1
H09109 NP_076870.1
H09110 NP_653327.1
H09111 NP_659486.2
H09112 NP_002178.2
H09113 NP_000670.1
H09114 NP_003305.1
H09115 NP_443159.1
H09116 NP_001124336.1
H09117 NP_001124430.1
H09118 NP_001035532.1
H09119 NP_001436.1
H09120 NP_078841.3
H09121 NP_114114.2
H09122 NP_071373.2
H09123 NP_006416.3
H09124 NP_004210.1
H09125 NP_079429.2
H09126 NP_000804.1
H09127 NP_068711.1
H09128 NP_000802.2
H09129 NP_000797.2
H09130 NP_001121115.1
H09131 NP_001121116.1
H09132 NP_001121117.1
H09133 NP_001121118.1
H09134 NP_001121119.1
H09135 NP_001121120.1
H09136 NP_944494.1
H09137 NP_000807.2
H09138 NP_944493.2
H09139 NP_004051.1
H09140 NP_954854.1
H09141 NP_660309.1
H09142 NP_001136028.1
H09143 NP_036616.2
H09144 NP_036617.2
H09145 NP_001136029.1
H09146 NP_877725.1
H09147 NP_037415.1
H09148 NP_001116151.1
H09149 NP_001155133.1
H09150 NP_001155134.1
H09151 NP_056053.1
H09152 NP_002878.2
H09153 NP_078870.1
H09154 NP_003053.1
H09155 NP_060255.3
H09156 NP_004937.1
H09157 NP_001123363.1
H09158 NP_658982.1
H09159 NP_036320.2
H09160 NP_001096079.1
H09161 NP_005556.1
H09162 NP_001030010.1
H09163 NP_004128.1
H09164 NP_055407.1
H09165 NP_001030009.1
H09166 NP_055026.1
H09167 NP_075048.1
H09168 NP_066305.2
H09169 NP_002511.1
H09170 NP_954654.1
H09171 NP_001032827.1
H09172 NP_003853.1
H09173 XP_933155.5
H09174 NP_387448.2
H09175 NP_387449.2
H09176 NP_036432.2
H09177 NP_005981.3
H09178 NP_001164654.1
H09179 NP_689490.2
H09180 XP_002342613.2
H09181 NP_001017995.1
H09182 NP_001136123.1
H09183 NP_004408.1
H09184 NP_001026881.1
H09185 NP_057177.1
H09186 NP_003936.1
H09187 NP_705835.2
H09188 NP_001161865.1
H09189 NP_001161866.1
H09190 NP_053582.2
H09191 NP_001196.2
H09192 NP_053581.2
H09193 NP_053583.2
H09194 NP_004378.1
H09195 NP_001159648.1
H09196 NP_001159647.1
H09197 NP_003705.1
H09198 NP_001153123.1
H09199 NP_612378.1
H09200 NP_085130.2
H09201 NP_001138426.1
H09202 NP_057064.1
H09203 NP_002440.2
H09204 NP_000785.1
H09205 NP_073591.2
H09206 NP_001124527.1
H09207 NP_071640.1
H09208 NP_001008221.1
H09209 NP_006641.1
H09210 NP_115737.1
H09211 NP_001072997.2
H09212 NP_940969.3
H09213 NP_065177.2
H09214 NP_001073153.1
H09215 NP_001073152.1
H09216 NP_775935.1
H09217 NP_057475.2
H09218 NP_620175.1
H09219 NP_001825.1
H09220 NP_009028.1
H09221 NP_055428.1
H09222 NP_055716.1
H09223 NP_001165447.1
H09224 NP_060145.3
H09225 NP_443131.2
H09226 NP_003076.1
H09227 NP_001001502.1
H09228 NP_001092878.1
H09229 NP_036303.1
H09230 NP_569732.2
H09231 NP_001006617.2
H09232 NP_588610.2
H09233 NP_002106.2
H09234 NP_057374.3
H09235 NP_036411.1
H09236 NP_002002.3
H09237 NP_998812.1
H09238 NP_075252.2
H09239 NP_071900.2
H09240 NP_758859.1
H09241 NP_001026847.1
H09242 NP_570137.2
H09243 NP_037369.1
H09244 NP_001136407.1
H09245 NP_112590.1
H09246 NP_006807.1
H09247 NP_006471.2
H09248 NP_003043.3
H09249 NP_001161051.1
H09250 NP_001025057.1
H09251 NP_000496.2
H09252 NP_002073.2
H09253 NP_001004106.1
H09254 NP_001004105.1
H09255 NP_085044.2
H09256 NP_001167572.1
H09257 NP_001167573.1
H09258 NP_004386.2
H09259 NP_543157.1
H09260 NP_005442.2
H09261 NP_976227.1
H09262 NP_998801.1
H09263 NP_001138347.1
H09264 NP_001138348.1
H09265 NP_079148.2
H09266 NP_057306.2
H09267 NP_001177875.1
H09268 NP_059980.2
H09269 NP_009186.1
H09270 NP_775934.3
H09271 XP_003118929.1
H09272 NP_006252.3
H09273 NP_001072995.1
H09274 NP_055926.1
H09275 NP_073599.2
H09276 NP_060308.1
H09277 NP_001030005.1
H09278 NP_112556.2
H09279 NP_004490.2
H09280 NP_699204.1
H09281 NP_775736.2
H09282 NP_065717.1
H09283 NP_005640.2
H09284 NP_478137.1
H09285 NP_085116.2
H09286 NP_872400.2
H09287 NP_001171560.1
H09288 NP_001171561.1
H09289 NP_000834.2
H09290 NP_001129588.1
H09291 NP_055409.1
H09292 NP_055059.2
H09293 NP_067610.1
H09294 XP_003118927.1
H09295 XP_003118930.1
H09296 NP_079434.3
H09297 NP_001035542.1
H09298 NP_001035541.1
H09299 NP_005511.1
H09300 NP_001135778.1
H09301 XP_003118928.1
H09302 NP_001157916.1
H09303 XP_001130734.2
H09304 NP_001737.1
H09305 NP_001019820.1
H09306 NP_055572.1
H09307 NP_665874.1
H09308 NP_055090.1
H09309 NP_463459.1
H09310 NP_003891.1
H09311 NP_001135770.1
H09312 NP_001135771.1
H09313 NP_057259.2
H09314 NP_001017987.1
H09315 NP_942568.2
H09316 NP_055858.2
H09317 NP_060904.2
H09318 NP_778232.2
H09319 NP_002743.3
H09320 NP_620709.1
H09321 NP_620707.1
H09322 NP_620708.1
H09323 NP_001128516.1
H09324 NP_005101.1
H09325 NP_056270.2
H09326 NP_443095.2
H09327 NP_891555.2
H09328 NP_002011.2
H09329 NP_001001657.1
H09330 NP_002397.2
H09331 NP_001108089.1
H09332 NP_001108090.1
H09333 NP_001108091.1
H09334 NP_001108092.1
H09335 NP_001166109.1
H09336 NP_689496.4
H09337 NP_001035552.1
H09338 NP_001153179.1
H09339 NP_079126.1
H09340 NP_001153180.1
H09341 NP_001153181.1
H09342 NP_001153182.1
H09343 NP_932079.1
H09344 NP_689760.2
H09345 NP_996763.1
H09346 NP_976038.1
H09347 NP_976042.1
H09348 NP_976039.1
H09349 NP_976040.1
H09350 NP_976041.1
H09351 NP_203128.1
H09352 NP_963921.1
H09353 NP_291027.3
H09354 NP_006089.1
H09355 NP_116154.1
H09356 XP_002342632.1
H09357 NP_001005224.1
H09358 NP_064570.1
H09359 NP_002451.2
H09360 NP_060773.3
H09361 NP_683762.2
H09362 NP_150285.3
H09363 NP_001443.1
H09364 NP_001444.2
H09365 NP_001491.1
H09366 NP_689767.2
H09367 NP_001012418.2
H09368 NP_064520.2
H09369 NP_569079.1
H09370 NP_109591.1
H09371 NP_004146.1
H09372 NP_004559.4
H09373 NP_000895.2
H09374 NP_001013001.1
H09375 NP_003795.2
H09376 NP_004323.2
H09377 NP_001060.1
H09378 NP_821080.1
H09379 NP_001122063.1
H09380 NP_001122064.1
H09381 NP_001129222.1
H09382 NP_056297.1
H09383 NP_068764.3
H09384 XP_001718886.1
H09385 NP_899229.2
H09386 NP_036267.1
H09387 NP_003904.3
H09388 NP_775834.1
H09389 NP_001078870.1
H09390 NP_996667.2
H09391 NP_001159482.1
H09392 NP_006108.2
H09393 NP_004815.3
H09394 NP_001137442.1
H09395 NP_001137443.1
H09396 NP_006629.2
H09397 NP_001138587.1
H09398 NP_065141.3
H09399 NP_001158313.1
H09400 NP_001158312.1
H09401 NP_006558.1
H09402 NP_057672.1
H09403 NP_000120.2
H09404 NP_004262.1
H09405 NP_001003698.1
H09406 NP_001003699.1
H09407 NP_001161816.1
H09408 NP_001003700.1
H09409 NP_003135.2
H09410 NP_001164163.1
H09411 NP_995586.1
H09412 NP_001164164.1
H09413 NP_113668.2
H09414 NP_694550.1
H09415 NP_004406.2
H09416 NP_001008844.1
H09417 NP_689764.3
H09418 NP_001709.1
H09419 NP_110437.2
H09420 NP_001139021.1
H09421 NP_958437.1
H09422 NP_001129122.1
H09423 NP_004271.1
H09424 NP_057032.2
H09425 NP_001136012.1
H09426 NP_001136013.1
H09427 XP_003118606.1
H09428 NP_001035890.1
H09429 NP_003211.1
H09430 NP_001027451.1
H09431 NP_663624.1
H09432 NP_001482.1
H09433 NP_663630.2
H09434 XP_932622.4
H09435 NP_001138492.1
H09436 NP_060376.2
H09437 NP_057546.1
H09438 NP_001158730.1
H09439 NP_112231.3
H09440 NP_001121183.1
H09441 NP_005897.1
H09442 NP_004743.1
H09443 NP_001035364.2
H09444 NP_060240.3
H09445 NP_001129047.1
H09446 NP_997465.1
H09447 NP_001135865.1
H09448 NP_006394.1
H09449 NP_892011.2
H09450 NP_001094299.1
H09451 NP_116133.1
H09452 NP_001137420.1
H09453 NP_002105.2
H09454 NP_001161791.1
H09455 NP_001946.3
H09456 NP_112210.1
H09457 NP_057579.1
H09458 NP_001137438.1
H09459 NP_001137436.1
H09460 NP_001137437.1
H09461 NP_061861.1
H09462 NP_149060.1
H09463 NP_036373.1
H09464 NP_001180196.1
H09465 NP_112534.1
H09466 NP_057251.2
H09467 NP_005484.2
H09468 NP_001026883.1
H09469 NP_689950.1
H09470 NP_001158504.1
H09471 NP_001158505.1
H09472 NP_001158506.1
H09473 NP_004224.1
H09474 NP_001035370.1
H09475 XP_003118607.1
H09476 NP_004964.2
H09477 NP_115498.2
H09478 NP_898861.1
H09479 NP_037394.2
H09480 NP_006868.3
H09481 NP_000323.2
H09482 NP_001121636.1
H09483 NP_001177695.1
H09484 NP_001137414.1
H09485 NP_694565.1
H09486 NP_001137413.1
H09487 NP_006357.1
H09488 NP_057339.1
H09489 NP_005115.2
H09490 NP_001099038.1
H09491 NP_071396.4
H09492 NP_001099036.1
H09493 NP_001099037.1
H09494 NP_940988.2
H09495 NP_000358.1
H09496 NP_694587.3
H09497 NP_003463.1
H09498 NP_001128181.1
H09499 NP_877434.2
H09500 NP_001537.1
H09501 NP_001073949.1
H09502 NP_001940.1
H09503 NP_060244.2
H09504 NP_003098.1
H09505 NP_000939.1
H09506 NP_001157030.1
H09507 NP_612641.2
H09508 NP_542454.3
H09509 NP_057440.2
H09510 NP_851854.1
H09511 NP_065713.1
H09512 NP_001494.2
H09513 NP_803436.1
H09514 NP_001071.1
H09515 NP_733936.1
H09516 NP_055624.2
H09517 NP_001161847.1
H09518 NP_001161849.1
H09519 NP_001161846.1
H09520 NP_001161848.1
H09521 NP_057698.2
H09522 NP_060943.1
H09523 NP_001153566.1
H09524 NP_112201.1
H09525 NP_056979.1
H09526 NP_055537.2
H09527 NP_056948.2
H09528 NP_060110.4
H09529 NP_001167448.1
H09530 NP_008929.2
H09531 NP_734466.1
H09532 NP_733759.1
H09533 NP_005486.1
H09534 NP_005065.2
H09535 NP_006623.2
H09536 NP_001091956.1
H09537 NP_005826.1
H09538 NP_006346.1
H09539 NP_005316.1
H09540 NP_003520.1
H09541 NP_003529.1
H09542 NP_003535.1
H09543 NP_003528.1
H09544 NP_003504.2
H09545 NP_066406.1
H09546 NP_003522.1
H09547 NP_005310.1
H09548 NP_000401.1
H09549 NP_620575.1
H09550 NP_620573.1
H09551 NP_620572.1
H09552 NP_620578.1
H09553 NP_620576.1
H09554 NP_620577.1
H09555 NP_620579.1
H09556 NP_620580.1
H09557 NP_003533.1
H09558 NP_005314.2
H09559 NP_003517.2
H09560 NP_003503.1
H09561 NP_005312.1
H09562 NP_066407.1
H09563 NP_619790.1
H09564 NP_003514.2
H09565 NP_003530.1
H09566 NP_003521.2
H09567 NP_066409.1
H09568 NP_003513.1
H09569 NP_003536.1
H09570 NP_003509.1
H09571 NP_066390.1
H09572 NP_003523.1
H09573 NP_005311.1
H09574 NP_003531.1
H09575 NP_003538.1
H09576 NP_066298.1
H09577 NP_003515.1
H09578 NP_003525.1
H09579 NP_003516.1
H09580 NP_003534.1
H09581 NP_008978.2
H09582 NP_853509.1
H09583 NP_008926.2
H09584 NP_008979.3
H09585 NP_001138480.1
H09586 NP_919423.1
H09587 NP_001138481.1
H09588 NP_008925.1
H09589 NP_932078.2
H09590 NP_008980.1
H09591 NP_510961.1
H09592 NP_001723.2
H09593 NP_006344.1
H09594 NP_037507.1
H09595 NP_078915.2
H09596 XP_003118608.1
H09597 NP_066402.2
H09598 NP_066408.1
H09599 NP_003486.1
H09600 NP_542160.1
H09601 NP_542163.1
H09602 NP_005856.1
H09603 NP_258443.2
H09604 NP_114419.2
H09605 NP_001070249.1
H09606 NP_009080.2
H09607 NP_003510.1
H09608 NP_003500.1
H09609 NP_003527.1
H09610 NP_066544.1
H09611 NP_003512.1
H09612 NP_068803.1
H09613 NP_003532.1
H09614 NP_003501.1
H09615 NP_003511.1
H09616 NP_003502.1
H09617 NP_005313.1
H09618 NP_003524.1
H09619 NP_003537.1
H09620 NP_003526.1
H09621 NP_003505.1
H09622 NP_003518.2
H09623 NP_149046.2
H09624 NP_036499.1
H09625 NP_003438.1
H09626 NP_079507.1
H09627 NP_006289.2
H09628 NP_001138601.1
H09629 NP_006290.1
H09630 NP_061983.2
H09631 NP_001007532.1
H09632 NP_689949.3
H09633 NP_001018854.2
H09634 NP_001104509.1
H09635 NP_001171672.1
H09636 NP_115896.1
H09637 NP_665916.1
H09638 NP_001128687.1
H09639 NP_001128688.1
H09640 NP_112161.3
H09641 NP_077819.2
H09642 NP_001156863.1
H09643 NP_001012458.1
H09644 NP_874360.1
H09645 NP_001500.1
H09646 NP_003987.2
H09647 NP_443155.1
H09648 NP_006501.1
H09649 NP_001010877.2
H09650 NP_112165.1
H09651 NP_001005226.1
H09652 NP_001005216.2
H09653 NP_112167.2
H09654 NP_112208.1
H09655 NP_110503.3
H09656 NP_112221.1
H09657 NP_039224.2
H09658 NP_039225.1
H09659 NP_039229.2
H09660 NP_112145.1
H09661 NP_443199.1
H09662 NP_006389.2
H09663 NP_009091.3
H09664 NP_001461.1
H09665 NP_068704.2
H09666 NP_068703.1
H09667 NP_002424.3
H09668 NP_001008230.1
H09669 NP_996534.2
H09670 NP_996533.2
H09671 NP_996532.2
H09672 NP_996535.2
H09673 NP_001008229.1
H09674 NP_001163889.1
H09675 NP_996537.3
H09676 NP_001103279.2
H09677 NP_001091949.1
H09678 NP_061823.2
H09679 NP_001091948.1
H09680 NP_002118.1
H09681 XP_001723102.1
H09682 NP_002107.3
H09683 XP_003118609.1
H09684 NP_740753.1
H09685 NP_055411.1
H09686 NP_068778.1
H09687 NP_739575.2
H09688 NP_079512.2
H09689 NP_008959.3
H09690 NP_619645.1
H09691 NP_439893.2
H09692 NP_006769.2
H09693 NP_150232.2
H09694 NP_003440.1
H09695 NP_067076.2
H09696 NP_742013.1
H09697 NP_079115.1
H09698 NP_005507.3
H09699 NP_005266.2
H09700 NP_079539.2
H09701 NP_001070965.1
H09702 NP_001020262.1
H09703 NP_001081.1
H09704 NP_002705.2
H09705 NP_054765.1
H09706 NP_079185.2
H09707 NP_001026892.1
H09708 NP_001177653.1
H09709 NP_001103408.1
H09710 NP_659466.2
H09711 NP_001154848.1
H09712 NP_001157711.1
H09713 NP_003578.2
H09714 NP_001128342.1
H09715 NP_597728.1
H09716 NP_009174.1
H09717 NP_055456.2
H09718 NP_821133.1
H09719 NP_005794.1
H09720 NP_003888.2
H09721 NP_001945.3
H09722 NP_054699.2
H09723 NP_054700.2
H09724 NP_001508.1
H09725 NP_001161206.1
H09726 NP_065175.4
H09727 NP_001161205.1
H09728 NP_995326.1
H09729 NP_543146.2
H09730 NP_001010909.2
H09731 NP_054789.2
H09732 NP_001255.3
H09733 NP_054787.2
H09734 NP_054788.2
H09735 NP_001099033.1
H09736 NP_001099034.1
H09737 NP_061925.2
H09738 NP_001070979.1
H09739 NP_009040.2
H09740 NP_002692.2
H09741 NP_976034.4
H09742 NP_001167002.1
H09743 NP_002108.4
H09744 NP_005505.2
H09745 XP_003118610.1
H09746 XP_003118612.1
H09747 XP_003118611.1
H09748 NP_006665.3
H09749 NP_005922.2
H09750 NP_001011700.2
H09751 NP_542165.1
H09752 NP_004631.1
H09753 NP_569730.1
H09754 NP_612139.1
H09755 NP_004998.3
H09756 NP_001138433.1
H09757 NP_001138434.1
H09758 NP_001138435.1
H09759 NP_001153212.1
H09760 NP_000586.2
H09761 NP_000585.2
H09762 NP_002332.1
H09763 NP_033666.1
H09764 NP_001160010.1
H09765 NP_009092.3
H09766 NP_995310.2
H09767 NP_995311.2
H09768 NP_995309.2
H09769 NP_995312.2
H09770 NP_667341.1
H09771 NP_001138938.1
H09772 NP_001138939.1
H09773 NP_001614.3
H09774 NP_116573.1
H09775 NP_004838.1
H09776 NP_542417.2
H09777 NP_004630.3
H09778 NP_542433.1
H09779 NP_542434.1
H09780 NP_001092004.1
H09781 NP_061974.2
H09782 NP_067007.3
H09783 NP_149417.1
H09784 NP_001311.3
H09785 NP_067044.2
H09786 NP_079538.3
H09787 NP_066983.1
H09788 NP_001170986.1
H09789 NP_001003693.1
H09790 NP_067069.2
H09791 NP_079537.1
H09792 NP_612116.1
H09793 NP_612117.1
H09794 NP_612119.1
H09795 NP_079536.2
H09796 NP_612118.1
H09797 NP_612121.1
H09798 NP_039268.1
H09799 NP_001279.2
H09800 NP_002432.1
H09801 NP_751898.1
H09802 NP_079535.4
H09803 NP_751897.1
H09804 NP_001034740.1
H09805 NP_079534.2
H09806 NP_006286.1
H09807 NP_067000.1
H09808 NP_005518.3
H09809 NP_005336.3
H09810 NP_005337.2
H09811 NP_001035527.1
H09812 NP_001035528.1
H09813 NP_000425.1
H09814 NP_079533.2
H09815 NP_001171515.1
H09816 NP_001171516.1
H09817 NP_006700.3
H09818 NP_079532.5
H09819 NP_862825.1
H09820 NP_000054.2
H09821 NP_001139375.1
H09822 NP_001701.2
H09823 NP_002895.3
H09824 NP_008860.4
H09825 NP_005501.2
H09826 NP_115830.1
H09827 NP_004188.1
H09828 NP_009224.2
H09829 NP_001002029.3
H09830 NP_000491.2
H09831 NP_001122062.1
H09832 NP_061978.6
H09833 NP_115859.2
H09834 NP_004372.3
